Team Number,QT #1,QT #2,QT #3
22297,Register 1st Play,available after 1st play registration,available after 2nd play registration
22330,Register 1st Play,available after 1st play registration,available after 2nd play registration
22357,Register 1st Play,available after 1st play registration,available after 2nd play registration
22446,Register 1st Play,available after 1st play registration,available after 2nd play registration
22904,Register 1st Play,available after 1st play registration,available after 2nd play registration
22943,Register 1st Play,available after 1st play registration,available after 2nd play registration
22964,Register 1st Play,available after 1st play registration,available after 2nd play registration
22994,Register 1st Play,available after 1st play registration,available after 2nd play registration
23051,,,
23157,SJ_1,Register 2nd Play,available after 2nd play registration
23159,Register 1st Play,available after 1st play registration,available after 2nd play registration
23212,,,
23222,Register 1st Play,available after 1st play registration,available after 2nd play registration
23223,Register 1st Play,available after 1st play registration,available after 2nd play registration
23224,Register 1st Play,available after 1st play registration,available after 2nd play registration
23229,Register 1st Play,available after 1st play registration,available after 2nd play registration
23230,Register 1st Play,available after 1st play registration,available after 2nd play registration
23279,,,
23285,,,
23287,Register 1st Play,available after 1st play registration,available after 2nd play registration
23292,,,
23304,,,
23346,SJ_1,Register 2nd Play,available after 2nd play registration
23393,Register 1st Play,available after 1st play registration,available after 2nd play registration
23425,Register 1st Play,available after 1st play registration,available after 2nd play registration
23460,,,
23512,Register 1st Play,available after 1st play registration,available after 2nd play registration
23540,Register 1st Play,available after 1st play registration,available after 2nd play registration
23543,Register 1st Play,available after 1st play registration,available after 2nd play registration
23585,,,
23586,Register 1st Play,available after 1st play registration,available after 2nd play registration
23641,,,
23642,Register 1st Play,available after 1st play registration,available after 2nd play registration
23649,Register 1st Play,available after 1st play registration,available after 2nd play registration
23691,Register 1st Play,available after 1st play registration,available after 2nd play registration
23692,,,
23734,Register 1st Play,available after 1st play registration,available after 2nd play registration
23808,Register 1st Play,available after 1st play registration,available after 2nd play registration
23810,Register 1st Play,available after 1st play registration,available after 2nd play registration
23817,Register 1st Play,available after 1st play registration,available after 2nd play registration
23836,,,
23839,Register 1st Play,available after 1st play registration,available after 2nd play registration
23841,,,
23878,Register 1st Play,available after 1st play registration,available after 2nd play registration
23904,Register 1st Play,available after 1st play registration,available after 2nd play registration
23930,,,
23951,Register 1st Play,available after 1st play registration,available after 2nd play registration
23965,Register 1st Play,available after 1st play registration,available after 2nd play registration
23966,Register 1st Play,available after 1st play registration,available after 2nd play registration
24057,Register 1st Play,available after 1st play registration,available after 2nd play registration
24105,Register 1st Play,available after 1st play registration,available after 2nd play registration
24113,Register 1st Play,available after 1st play registration,available after 2nd play registration
24114,Register 1st Play,available after 1st play registration,available after 2nd play registration
